German,English
die Erfahrung,experience
die Entwicklung,development
die Verantwortung,responsibility
die Entscheidung,decision
die Gelegenheit,opportunity
die Umwelt,environment
die Gesellschaft,society
die Regierung,government
die Wirtschaft,economy
der Erfolg,success
der Wettbewerb,competition
der Zusammenhang,context/connection
der Einfluss,influence
der Bereich,area/field
der Vorschlag,proposal/suggestion
das Ergebnis,result
das Ereignis,event
das Verständnis,understanding
das Ziel,goal/target
das Gesetz,law
abhängen,to depend
anerkennen,to recognize/acknowledge
aussehen,to look/appear
bedeuten,to mean
beeinflussen,to influence
bemerken,to notice
beschließen,to decide
beschreiben,to describe
besitzen,to own/possess
bestätigen,to confirm
betonen,to emphasize
bieten,to offer
darstellen,to represent/portray
entwickeln,to develop
erinnern,to remind
erkennen,to recognize
erklären,to explain
erlauben,to allow
erreichen,to reach/achieve
erscheinen,to appear
erwarten,to expect
fehlen,to be missing
folgen,to follow
gehören,to belong
gelingen,to succeed
gewinnen,to win
handeln,to act/trade
hoffen,to hope
interessieren,to interest
lösen,to solve
nennen,to name/call
passieren,to happen
reden,to talk
schaffen,to manage/create
scheinen,to seem/shine
schließen,to close
stattfinden,to take place
steigen,to climb/increase
sterben,to die
suchen,to search
teilnehmen,to participate
tragen,to carry/wear
treffen,to meet
tun,to do
verbinden,to connect
vergehen,to pass (time)
vergessen,to forget
vergleichen,to compare
verlieren,to lose
vermeiden,to avoid
versprechen,to promise
verstehen,to understand
versuchen,to try
verwenden,to use
vorschlagen,to suggest
vorstellen,to introduce/imagine
wachsen,to grow
wählen,to choose/vote
warten,to wait
werfen,to throw
wissen,to know
wünschen,to wish
zeigen,to show
ziehen,to pull/move
zweifeln,to doubt
ähnlich,similar
allgemein,general
anders,different
angenehm,pleasant
bekannt,known/famous
beliebt,popular
bereits,already
besonders,especially
besser,better
bestimmt,definite/certain
deutlich,clear
direkt,direct
eigen,own
einfach,simple/easy
einzig,only/single
erfolgreich,successful
ernst,serious
falsch,wrong
fertig,finished
frei,free
früh,early
gemeinsam,common/together
genau,exact
gerade,straight/just
gesund,healthy
groß,big/tall
gut,good
hart,hard
häufig,frequent
heiß,hot
hoch,high
interessant,interesting
jung,young
kalt,cold
klar,clear
klein,small
klug,clever
kompliziert,complicated
kurz,short
lang,long
langsam,slow
laut,loud
leicht,light/easy
leise,quiet
letzte,last
möglich,possible
nahe,near
natürlich,natural/of course
neu,new
niedrig,low
offen,open
oft,often
persönlich,personal
plötzlich,sudden
politisch,political
positiv,positive
privat,private
richtig,correct
ruhig,calm/quiet
schlecht,bad
schnell,fast
schön,beautiful
schwer,heavy/difficult
sicher,safe/sure
sofort,immediately
spät,late
stark,strong
stolz,proud
teuer,expensive
tief,deep
toll,great
tot,dead
traurig,sad
typisch,typical
überrascht,surprised
unabhängig,independent
unbekannt,unknown
unmöglich,impossible
unterschiedlich,different/variable
verantwortlich,responsible
verfügbar,available
verrückt,crazy
verschieden,different/various
vorsichtig,careful
wahrscheinlich,probably
weit,wide/far
wichtig,important
wirklich,real/really
wunderbar,wonderful
zufrieden,satisfied
